city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index
33474,63.889,14.706,86.216,79.242,41.034,78.45,35.496,2.498,50.492,194.671
34013,70.139,28.529,90.719,75.318,16.379,78.45,35.496,2.661,50.492,168.114
34096,73.611,33.088,59.157,69.769,29.425,78.45,35.496,3.364,50.492,200.617
34280,68.338,41.165,75.912,87.033,25.862,78.45,78.724,3.423,148.441,168.871
34296,55.556,20.588,65.233,69.839,5.172,78.45,35.496,1.935,50.492,65.134
34311,88.889,55.147,59.261,89.87,5.172,78.45,35.496,5.061,50.492,92.734
34457,44.444,46.471,61.366,87.646,31.897,165.911,60.653,5.261,83.735,97.906
34571,66.667,56.373,58.852,79.936,36.638,161.695,72.305,2.696,81.47,116.723
34585,75.0,14.412,55.35,60.934,18.966,78.45,35.496,3.304,50.492,175.312
34698,100.0,27.941,73.084,96.404,43.966,78.45,35.496,6.384,50.492,239.496
34731,77.778,9.939,49.038,75.175,1.724,78.45,57.468,0.906,239.44,124.494
34781,27.778,60.294,59.967,75.175,12.069,78.45,68.264,4.31,89.044,142.512
35589,76.389,36.029,66.485,75.175,29.9,78.45,55.657,1.172,128.028,167.33
3386,68.96,46.211,47.275,70.112,52.931,160.61,63.961,1.627,100.28,129.382
3387,66.555,70.005,63.862,67.062,25.126,166.222,64.767,3.143,102.948,116.45
3388,74.074,53.241,72.324,95.411,50.343,154.449,77.259,5.225,92.736,215.239
3389,61.167,63.249,73.603,41.61,16.563,162.595,91.2,2.99,106.53,131.346
3390,82.027,21.218,74.776,81.616,17.949,199.938,88.171,6.384,121.605,177.863
3391,67.341,62.301,63.236,89.729,44.848,162.934,75.971,3.641,123.665,204.533
3393,70.686,35.874,64.156,82.083,36.367,187.508,62.219,3.803,127.851,160.706
3395,55.833,58.234,63.687,77.627,79.436,137.64,76.957,3.66,106.812,101.906
3396,76.571,74.73,71.757,81.238,50.376,152.563,72.547,2.524,102.879,122.326
3397,68.269,66.609,68.186,86.436,43.089,150.055,65.469,4.257,85.601,164.98
3398,72.97,61.478,67.227,88.16,33.482,165.598,75.375,2.717,82.824,116.102
3399,82.28,36.792,65.472,65.108,29.158,182.379,62.448,5.705,96.107,107.78
3400,75.116,35.298,88.991,71.728,26.827,168.206,87.882,8.288,98.918,213.076
3402,76.845,44.993,63.137,66.432,25.017,180.737,72.777,2.01,93.509,109.302
3403,73.884,44.187,69.612,84.046,28.439,186.226,71.848,3.006,118.735,167.241
3405,66.413,64.874,74.918,66.11,43.494,147.006,79.796,3.983,107.088,191.199
3406,68.772,49.139,58.441,73.245,43.821,170.866,63.026,2.494,109.923,120.348
3407,82.941,64.666,67.111,73.106,36.638,155.727,75.257,1.879,78.037,153.494
3408,62.047,37.821,67.205,51.443,30.888,169.583,73.094,3.87,101.963,119.257
3409,74.191,43.432,67.312,71.289,25.317,191.29,72.33,2.416,122.186,120.211
3410,45.64,49.232,56.559,81.326,47.277,166.03,57.928,3.979,114.928,101.641
3411,65.613,49.714,61.886,81.852,41.917,181.971,63.615,2.292,143.761,167.363
3412,68.916,43.152,73.679,56.278,43.058,162.718,72.974,4.376,116.565,172.948
3413,80.205,40.536,58.89,61.884,28.973,186.462,67.037,2.868,107.923,105.952
3414,61.074,73.279,65.31,66.025,58.481,119.152,69.22,1.516,73.304,227.379
3415,73.742,58.123,64.77,84.069,30.375,78.45,35.496,2.789,50.492,110.378
3416,68.886,32.036,42.229,72.052,46.36,179.885,55.015,2.365,116.511,130.93
3417,77.778,44.44,57.744,65.31,38.812,166.015,65.321,4.052,90.782,129.94
3418,63.274,44.044,66.745,81.564,60.039,164.919,67.509,2.975,116.979,119.837
3419,84.63,38.422,82.575,97.849,27.562,193.26,80.875,9.259,120.248,150.958
3420,79.411,61.416,62.238,78.273,81.425,144.881,66.328,2.975,107.063,111.735
3421,51.389,38.892,61.504,85.296,31.034,159.444,74.171,2.504,101.283,329.781
3422,75.0,18.207,66.952,95.504,33.649,186.671,78.774,8.557,73.27,81.971
3423,86.779,39.369,59.204,62.324,25.403,78.45,35.496,2.767,50.492,124.982
3424,58.46,40.357,64.774,82.788,27.996,78.45,35.496,2.372,50.492,104.923
3425,44.444,62.794,83.486,77.777,27.586,78.45,35.496,3.157,50.492,268.905
3427,72.419,43.915,81.492,95.33,36.664,155.601,95.392,8.747,75.347,202.124
3428,71.67,63.894,65.613,85.534,56.076,162.097,64.842,2.218,134.415,205.006
3429,75.529,53.466,56.839,77.688,27.443,159.07,68.405,7.775,50.515,88.399
3430,74.603,37.259,89.667,96.817,32.728,78.45,35.496,5.779,50.492,86.741
3431,73.014,57.564,60.658,69.919,41.781,171.719,64.9,2.117,122.46,134.268
3432,80.556,31.723,54.994,81.367,38.793,78.45,35.496,2.549,50.492,71.647
3434,71.296,77.104,62.855,86.905,27.36,154.114,77.067,3.683,73.986,128.918
3435,69.477,57.433,64.373,87.81,38.582,169.498,68.608,2.951,110.745,171.302
3436,45.139,46.75,68.452,79.778,50.718,146.97,82.424,7.31,114.584,167.517
3437,79.398,58.707,66.632,75.081,32.027,178.822,68.045,2.277,112.411,126.139
3438,55.805,55.572,73.475,57.405,53.029,148.16,68.177,3.166,108.766,127.742
3439,75.424,31.258,64.786,56.711,21.149,194.64,66.772,3.404,103.717,73.834
3440,69.017,58.497,66.723,83.817,17.198,194.223,62.263,2.281,120.798,102.569
3441,79.282,56.182,66.488,96.092,43.582,164.46,72.627,8.086,104.903,178.032
3442,61.335,48.408,87.457,95.504,66.256,129.951,81.178,7.621,95.025,340.925
3443,61.325,52.796,74.177,78.613,42.524,170.947,66.344,2.541,112.931,110.017
3444,77.53,49.268,51.972,73.249,33.17,187.287,48.324,1.938,114.848,88.263
