,country,city_name,cpi_and_rent_index,rent_index,purchasing_power_incl_rent_index,restaurant_price_index,groceries_index,city_id,cpi_index
12,United States,"New York, NY",100.0,100.0,99.99999999999999,100.0,100.0,3455,100.0
17,United States,"Honolulu, HI",80.69304388947027,64.67495324536918,76.26892136101274,81.53053392682244,101.12276734751653,3427,95.39021092557658
19,United States,"San Francisco, CA",100.89457705617777,108.56574887501537,126.57153098619727,91.09828054108723,94.00028963877995,3483,93.85600447663953
23,United States,"Anchorage, AK",65.31947822040132,37.112691514037365,107.83188269188264,73.60264452743971,93.78819509166007,3389,91.20020676578025
28,United States,"Oakland, CA",85.91263621833376,82.97469516183841,92.4227523211339,73.14771998687738,93.46138891393073,3459,88.6083014763805
29,United States,"Seattle, WA",78.5352518024773,68.19974438452086,123.96592173086405,85.46659576391035,83.4456144115689,3487,88.01844691603237
30,United States,"Boston, MA",82.21958790408964,76.04865948086922,100.12729428180289,88.99087247585162,87.90899229293777,3400,87.8816338881612
35,United States,"Queens, NY",81.07427693691017,74.66020724577001,112.28765184733538,85.50516755812416,77.56165285361925,10027,86.95941366927282
39,United States,"Bellevue, WA",75.60727768984276,64.44923204363032,159.16515061112477,78.18633386988144,82.92560766367805,9978,85.84518083963397
56,United States,"Washington, DC",79.72636063401097,75.66472026927258,112.67282244934816,79.94262608754994,80.36022758174525,3497,83.45305991468555
65,United States,"Jersey City, NJ",72.57262398503586,61.83631357901353,115.9850475282681,68.45213142325123,83.72318027460646,3436,82.42357007435058
67,United States,"Bend, OR",62.01569290473703,40.36816346079788,83.75341228718906,70.81576264878072,88.69471368596922,9378,81.87806996487495
69,United States,"Minneapolis, MN",63.266272935776215,43.35633449659663,112.04208492867274,77.19292130897531,79.94213750392217,3450,81.53434853984191
72,United States,"Los Angeles, CA",77.1549508024538,72.84597828508242,96.19230311883118,87.45739891492549,78.0088454121659,3442,81.10858611697991
76,United States,"Fremont, CA",77.11437626530319,73.01560528523137,121.71818198716034,82.57527514619582,78.90277800695483,3419,80.87514420421135
82,United States,"Fort Lauderdale, FL",68.38941232337454,55.06771864737296,97.73262346290072,75.17214568513259,89.22810801174647,8025,80.61253938078941
86,United States,"Milwaukee, WI",58.87089183221556,35.57064917254149,77.36982578321933,65.35686125818654,86.75631710360557,3449,80.24969196262636
89,United States,"Chicago, IL",68.59293468893274,56.38307244529863,108.42954311153396,74.91844473884625,74.65669133236662,3405,79.79591692131412
92,United States,"San Diego, CA",73.5312105236365,67.16256209980716,114.09332865599231,77.35425512549463,78.94040131733635,3482,79.37467163014018
93,United States,"Charleston, SC",65.0748328889766,49.499210264496554,97.48383941182674,73.21080109804367,80.7466069891119,8539,79.36601980316993
103,United States,"Saint Paul, MN",61.15505691987099,41.98731652822547,100.14707061384833,72.56160466587261,78.04753183136535,3477,78.74213945673256
104,United States,"Salem, OR",57.15526579253291,33.62833319513973,84.35381351394491,59.996852854095415,85.22805381309202,10274,78.74206199151939
108,United States,"Tampa, FL",60.9796366105948,41.80031549849408,104.30865593046758,68.40647678905759,83.97248413883204,3492,78.57734486975438
113,United States,"Irvine, CA",73.84051790607779,68.93511818461377,126.94277342140758,78.08113486637514,71.27803431510537,8366,78.3413963620114
