country,city,cities,state,latitude,longitude,city_id,Zip_Code,ALand,AWater,Mean,Median,Stdev,sum_w
United States,"Aberdeen, SD",Aberdeen, SD,45.4646985,-98.4864829,9737,57401,64789843,303992,51853,46703,41312,408.3866157
United States,"Akron, OH",Akron, OH,41.0814447,-81.5190053,3386,44312,3741316,537643,53652,42119,39327,810.9768863
United States,"Alameda, CA",Alameda, CA,37.7652065,-122.2416355,34698,94501,582861,0,57071,43007,50318,1165.270709
United States,"Albany, NY",Albany, NY,42.6525793,-73.7562317,7700,12208,582401,0,46221,27906,47071,1511.026247
United States,"Albany, OR",Albany, OR,44.6365107,-123.1059282,9002,97322,149079351,2695896,71180,68143,47895,394.8085761
United States,"Albuquerque, NM",Albuquerque, NM,35.0844909,-106.6511367,3387,87121,32361309,0,16025,300000,7037,71
United States,"Alexandria, MN",Alexandria, MN,45.8852397,-95.3775379,11671,56308,44330224,1857479,51081,40667,43265,3750.234706
United States,"Alexandria, VA",Alexandria, VA,38.8048355,-77.0469214,8914,22315,3320496,166320,146228,141414,71620,346.7910078
United States,"Allen, TX",Allen, TX,33.1031744,-96.6705503,11400,75002,22758289,110959,159185,169040,76007,260.7412673
United States,"Allentown, PA",Allentown, PA,40.6084305,-75.4901833,7944,18102,306093,0,32304,19675,33323,893.1482951
United States,"Alpharetta, GA",Alpharetta, GA,34.0709576,-84.2747329,11549,30004,30547279,528025,143235,134230,78667,816.1821395
United States,"Amarillo, TX",Amarillo, TX,35.201967,-101.8138029,9269,79106,989332,1112,72654,52706,62546,262.1521191
United States,"Ames, IA",Ames, IA,42.02335,-93.625622,9124,50010,1814285,0,92699,94744,47586,205.4509434
United States,"Amherst, MA",Amherst, MA,42.3732216,-72.5198537,13860,1002,18255906,87943,77857,45874,75630,236.1146931
United States,"Anaheim, CA",Anaheim, CA,33.8352932,-117.9145036,3388,92807,2355969,272253,105938,300000,67176,126.1570034
United States,"Anchorage, AK",Anchorage, AK,61.2180556,-149.9002778,3389,99501,395024280,6304383,77110,84804,54957,37.79753595
United States,"Ann Arbor, MI",Ann Arbor, MI,42.2708716,-83.7263294,7859,48104,1048998,45327,77541,58461,66223,644.6289568
United States,"Annapolis, MD",Annapolis, MD,38.9784453,-76.4921829,9016,21403,7347539,2848979,98432,65174,77874,185.6133519
United States,"Appleton, WI",Appleton, WI,44.2619309,-88.4153847,7593,54915,79385783,290061,103427,95051,51121,696.3300243
United States,"Arlington, TX",Arlington, TX,32.735687,-97.1080656,9131,76002,6118658,107906,97787,88599,55084,311.0050392
United States,"Arlington, VA",Arlington, VA,38.8799697,-77.1067698,3390,22202,1160239,0,122415,113550,64355,883.5751916
United States,"Ashburn, VA",Ashburn, VA,39.0437567,-77.4874416,33474,20147,44489963,677836,129557,119556,72516,4846.853522
United States,"Asheville, NC",Asheville, NC,35.6009452,-82.554015,7644,28801,1685689,0,43098,32415,34617,436.9221732
United States,"Astoria, NY",Astoria, NY,40.7720145,-73.9302673,11680,11102,195052,0,97214,81067,80608,139.0197602
United States,"Athens, GA",Athens, GA,33.955802,-83.3823656,8108,30605,1505992,76008,20630,15472,17655,592.968331
United States,"Atlanta, GA",Atlanta, GA,33.7490987,-84.3901849,3391,30319,29997184,312796,94627,70197,77357,10451.71713
United States,"Augusta, GA",Augusta, GA,33.4734978,-82.0105148,9221,30904,1977698,0,49158,33239,48032,672.0313352
United States,"Aurora, CO",Aurora, CO,39.729432,-104.8319196,10918,80010,641546,0,36004,23387,33894,434.8518616
United States,"Aurora, IL",Aurora, IL,41.7605849,-88.3200715,8400,60504,1970137,49238,77668,69559,48740,544.832063
United States,"Austin, TX",Austin, TX,30.267153,-97.7430608,3393,78738,17640926,8,122203,118410,82938,699.6598034
United States,"Bakersfield, CA",Bakersfield, CA,35.3732921,-119.0187125,3395,93304,385366784,3809676,71025,56986,57439,62475.41281
United States,"Baltimore, MD",Baltimore, MD,39.2903848,-76.6121893,3396,21236,7778915,0,75318,63290,50914,2639.464674
United States,"Baton Rouge, LA",Baton Rouge, LA,30.4582829,-91.1403196,3397,70806,222547923,5682680,56178,39487,54542,57977.17479
United States,"Beaverton, OR",Beaverton, OR,45.4871723,-122.8037804,9550,97008,3562312,0,52221,38658,38630,617.1890324
United States,"Bellevue, WA",Bellevue, WA,47.6144219,-122.1923372,9978,98004,965023,0,172496,300000,84829,97.85949561
United States,"Bellingham, WA",Bellingham, WA,48.7595529,-122.4882249,8448,98229,16197562,4823649,82398,75858,51702,1188.246377
United States,"Bend, OR",Bend, OR,44.0581728,-121.3153096,9378,97701,85483185,660862,69397,53546,57794,19488.16802
United States,"Bentonville, AR",Bentonville, AR,36.3728538,-94.2088172,9306,72712,4253798,8043,39761,34063,30863,628.0203232
United States,"Berkeley, CA",Berkeley, CA,37.8708789,-122.2728247,9798,94707,1106644,0,137482,133190,83451,519.5604104
United States,"Bethlehem, PA",Bethlehem, PA,40.6178915,-75.3786521,11848,18017,1683506,0,69754,300000,54966,232.3923729
United States,"Billings, MT",Billings, MT,45.7874957,-108.49607,9498,59101,5433151,353578,31722,24879,28591,396.587697
United States,"Binghamton, NY",Binghamton, NY,42.0986867,-75.9179738,7585,13901,6342876,371972,78956,69168,54557,539.0363708
United States,"Birmingham, AL",Birmingham, AL,33.5206608,-86.80249,3398,35242,7151912,58061,92018,74570,65160,1035.308758
United States,"Bismarck, ND",Bismarck, ND,46.8083268,-100.7837392,9103,58504,4179656,0,53655,45684,35967,1188.587858
United States,"Blacksburg, VA",Blacksburg, VA,37.2295733,-80.4139393,12522,24060,5900663,11480,47023,25833,53195,716.0745981
United States,"Bloomfield Hills, MI",Bloomfield Hills, MI,42.583645,-83.2454883,33547,48302,6491047,139238,125233,115001,83572,753.1262232
United States,"Bloomington, IL",Bloomington, IL,40.4731073,-88.9941403,11437,61704,2341425,0,87642,300000,45280,428.1396431
United States,"Bloomington, IN",Bloomington, IN,39.165325,-86.5263857,8198,47401,11172621,93026,65041,300000,45050,129.3958804
United States,"Bloomsburg, PA",Bloomsburg, PA,41.003698,-76.4549457,33814,17815,3042022,2576,41258,21393,47485,1003.798198
United States,"Boca Raton, FL",Boca Raton, FL,26.3586885,-80.0830984,11189,33431,75943092,5106264,94674,70467,75598,17799.81253
United States,"Boise, ID",Boise, ID,43.6187102,-116.2146068,3399,83712,2787586,81547,68382,47698,62985,1491.107229
United States,"Boston, MA",Boston, MA,42.35892,-71.05781,3400,2215,273305,0,48874,25568,59523,306.811186
United States,"Boulder, CO",Boulder, CO,40.0149856,-105.2705456,10622,80304,2882031,0,119826,300000,76603,111.6277802
United States,"Bowling Green, KY",Bowling Green, KY,36.9903199,-86.4436018,7819,42104,99097836,834101,47429,35052,45535,16307.82945
United States,"Bozeman, MT",Bozeman, MT,45.6799842,-111.0446748,10764,59715,53090819,117082,95811,300000,68394,107.7943882
United States,"Bradenton, FL",Bradenton, FL,27.4989278,-82.5748194,8960,34208,3452562,0,29811,19842,28481,1656.748321
United States,"Bremerton, WA",Bremerton, WA,47.57,-122.6525,8294,98311,4964628,2248976,67621,66172,46242,1220.567512
United States,"Bridgeport, CT",Bridgeport, CT,41.1670412,-73.2048348,14024,6604,662760,0,60931,50186,50595,801.7283605
United States,"Bronx, NY",Bronx, NY,48.3518699,-116.547416,10809,10455,165973,0,29609,21900,25154,88.12609417
United States,"Brooklyn, NY",Brooklyn, NY,40.6501038,-73.9495823,9925,11205,1054276,376700,117203,300000,71140,57.86288296
United States,"Brownsville, TX",Brownsville, TX,25.9140256,-97.4890856,11521,78520,10331384,317270,63223,50329,46300,2780.254911
United States,"Buffalo, NY",Buffalo, NY,42.8864468,-78.8783689,3402,14220,1090392,0,59820,50685,41523,1158.022235
United States,"Burlington, VT",Burlington, VT,44.4758825,-73.212072,7450,5401,461583,0,36283,27493,34877,402.1730181
United States,"Butte, MT",Butte, MT,45.9838436,-112.5007277,10203,59701,4762059,0,39837,27021,41158,1482.850932
United States,"Cambridge, MA",Cambridge, MA,42.3750997,-71.1056157,10377,2141,467529,0,66474,36520,68794,388.9139614
United States,"Camden, NJ",Camden, NJ,39.9448436,-75.1198694,10992,8103,1171708,55093,39958,21912,51151,258.0747776
United States,"Canton, OH",Canton, OH,40.7989522,-81.3784445,11117,44714,2137891,0,55294,58161,29451,147.8895588
United States,"Carlsbad, CA",Carlsbad, CA,33.1580933,-117.3505939,12929,92009,4407413,0,64113,300000,63098,305.1956025
United States,"Cary, NC",Cary, NC,30.4627376,-81.78427,11614,27513,146322917,2815890,106139,93114,70195,21719.58802
United States,"Cedar Rapids, IA",Cedar Rapids, IA,41.9758872,-91.6704053,9504,52404,3731140,10462,97904,98874,52983,279.0473319
United States,"Champaign, IL",Champaign, IL,40.1164205,-88.2433829,12382,61820,456544,634,15444,8760,18646,600.1701123
United States,"Chandler, AZ",Chandler, AZ,33.3066739,-111.8408605,11273,85286,3873524,7991,69214,68132,39574,346.0780086
United States,"Chapel Hill, NC",Chapel Hill, NC,35.9131996,-79.0558445,9801,27516,1089763,295,36566,20912,49371,936.4916868
United States,"Charleston, SC",Charleston, SC,32.7765656,-79.9309216,8539,29401,714312,754367,97644,78926,84585,170.0842474
United States,"Charleston, WV",Charleston, WV,38.3498221,-81.6326301,9384,25301,1468596,182220,36894,18272,41871,400.4490853
United States,"Charlotte, NC",Charlotte, NC,35.2270869,-80.8431267,3403,28205,1124237,0,40531,32508,38083,535.6090115
United States,"Charlottesville, VA",Charlottesville, VA,38.0293059,-78.4766781,9181,22908,4581536,11479,45772,28009,52199,820.9714753
United States,"Chattanooga, TN",Chattanooga, TN,35.0456297,-85.3096801,8438,37415,16975414,0,47415,36640,42060,3863.264218
United States,"Cherry Hill, NJ",Cherry Hill, NJ,39.9348351,-75.0307264,10414,8034,7317476,225555,83759,73581,63146,667.521362
United States,"Cheyenne, WY",Cheyenne, WY,41.1399814,-104.8202462,10358,82007,15528493,0,45079,300000,33184,186.9624528
United States,"Chicago, IL",Chicago, IL,41.8781136,-87.6297982,3405,60608,588808396,17615206,67450,48321,62043,612241.923
United States,"Chico, CA",Chico, CA,39.7284944,-121.8374777,8019,95926,6244233,0,84979,73616,59231,1360.616595
United States,"Cincinnati, OH",Cincinnati, OH,39.1014537,-84.5124602,3406,45241,12285238,0,119823,105537,73356,368.9746417
United States,"Citrus Heights, CA",Citrus Heights, CA,38.7071247,-121.2810611,33891,95621,1607390,0,51458,53549,32209,243.6215925
United States,"Clarksville, TN",Clarksville, TN,36.5285918,-87.3098696,11786,37040,10757538,360726,38147,24986,35243,437.4256936
