,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
82,United States,4.33261956484062,"Queens, NY",23.080724837117938,14.99487509985001,0.8765705584504617,114.08094766127303,44.842131961131535,2.2300456206381636,10027
114,United States,10.28881147594651,"Naples, FL",9.719295589561824,13.208732749664362,1.0277734546349275,97.29770656075246,59.95064003496231,1.668038905701115,7572
150,United States,6.847346737637849,"Bellingham, WA",14.604196900140815,11.749545384764973,1.132820739625543,88.27521999028308,38.24280504400316,2.614870951148521,8448
151,United States,5.396515631203959,"Santa Barbara, CA",18.530475372252383,11.708001135575287,1.147694862355319,87.13117334583018,41.88340230087238,2.3875806287570174,7907
207,United States,5.732654552614911,"San Mateo, CA",17.443925686117904,10.130144071859666,1.323437366356621,75.56081046381263,27.730751805808264,3.6061049011680524,11992
213,United States,5.448321405215103,"New York, NY",18.354276952949316,9.999306966627316,1.4021210019736612,71.32052073910701,21.377225002587945,4.677875635770963,3455
245,United States,6.455393738506649,"Fremont, CA",15.490921863293407,9.25916956187977,1.5228722532307999,65.66538971857177,29.305645296868104,3.4123118254859595,3419
254,United States,4.8990025425513295,"Sunnyvale, CA",20.412318452874583,9.106635555952622,1.453448911311472,68.80186790313,27.429137559943022,3.645758084134517,10672
271,United States,6.604338047004954,"Honolulu, HI",15.141562907330233,8.747365878516348,1.5641645766589087,63.93189149801761,18.10927803585357,5.522031292579166,3427
279,United States,7.856143645285342,"Berkeley, CA",12.728891491185037,8.611612971040556,1.5572199269803737,64.21700510467481,18.237773253967028,5.483125522368707,9798
292,United States,7.128483378134382,"Boston, MA",14.028229385613201,8.287798008764769,1.6628980330131544,60.13597828292635,19.916024058968635,5.021082506423653,3400
297,United States,5.090147647424359,"Long Beach, CA",19.645795549879683,8.08602791510663,1.730891222281067,57.77370565679703,19.40643270356085,5.152930552849685,3441
305,United States,8.881231175273319,"Oakland, CA",11.259700150404262,7.971623080290249,1.7019870867625584,58.75485235920056,17.85638331584792,5.6002382022818615,3459
307,United States,5.669000008771269,"San Francisco, CA",17.63979535108072,7.937947440676381,1.7776227606346464,56.25490526701966,19.659022765969777,5.086722834112707,3483
313,United States,5.979595485993645,"Santa Cruz, CA",16.723539281918956,7.770803908099308,1.744295302012825,57.3297422085614,15.02830115557013,6.65411206262231,8766
314,United States,7.526315478539673,"Bend, OR",13.286713835626108,7.7131133732346875,1.7376932628292683,57.547555796575125,24.22589548661621,4.1278143899880115,9378
317,United States,10.730860155366132,"Fort Collins, CO",9.318917454160788,7.65103562494066,1.7238180799810932,58.01076178589379,28.95220743547873,3.453968068681962,8543
320,United States,6.887482952593505,"Los Angeles, CA",14.519092197875375,7.621192924063538,1.8435298992147924,54.24376357692523,16.36458085306247,6.110758405479477,3442
324,United States,5.548947521769829,"Cambridge, MA",18.021435525868,7.556078027139875,1.776419655609648,56.29300468738682,20.63846238631295,4.845322201246841,10377
346,United States,14.525126508985418,"West Palm Beach, FL",6.884621620206806,7.124180321551129,1.8737083478927634,53.370098987104065,27.955670220704395,3.57709184614499,8064
